都道府県,観光地,URL,yorokobi,ikari,takaburi,aware,suki,kowa,yasu,iya,odoroki,haji,SUM,カテゴリ
東京,亀有駅,//www.jalan.net/kankou/spt_13122aj2202041329/kuchikomi/,29,5,4,3,12,0,11,17,2,1,84.0, その他
東京,秋川渓谷,//www.jalan.net/kankou/spt_13228ab2040116440/kuchikomi/,24,0,1,0,5,3,9,10,6,0,58.0, 自然景観・絶景
東京,江戸城,//www.jalan.net/kankou/spt_13101af2120008922/kuchikomi/,24,1,7,2,6,5,10,14,5,1,75.0, 観光施設・名所巡り
東京,東京都水の科学館,//www.jalan.net/kankou/spt_guide000000172966/kuchikomi/,19,0,1,0,5,2,5,5,3,0,40.0, ミュージアム・ギャラリー
東京,サンシャインシティプリンスホテル,//www.jalan.net/kankou/spt_guide000000192208/kuchikomi/,26,3,3,3,12,4,15,19,6,1,92.0, レジャー・体験
東京,屋形船晴海屋,//www.jalan.net/kankou/spt_guide000000187779/kuchikomi/,14,0,2,0,2,1,4,1,1,0,25.0, 乗り物
東京,天神通り,//www.jalan.net/kankou/spt_13208ad2152096552/kuchikomi/,11,0,0,1,4,0,1,0,2,0,19.0, 観光施設・名所巡り
東京,北区飛鳥山博物館,//www.jalan.net/kankou/spt_13117cc3290031172/kuchikomi/,10,0,0,0,5,0,3,5,1,0,24.0, ミュージアム・ギャラリー
東京,豊川稲荷東京別院,//www.jalan.net/kankou/spt_13103ag2130015173/kuchikomi/,11,0,4,1,7,0,6,7,4,0,40.0, 神社・神宮・寺院
東京,浅草演芸ホール,//www.jalan.net/kankou/spt_guide000000151684/kuchikomi/,18,1,3,2,7,2,14,15,3,0,65.0, エンタメ・アミューズメント
東京,東京農業大学「食と農」の博物館,//www.jalan.net/kankou/spt_guide000000197806/kuchikomi/,8,0,2,1,2,0,3,1,2,0,19.0, ミュージアム・ギャラリー
東京,ホテルウィングインターナショナル池袋,//www.jalan.net/kankou/spt_guide000000216176/kuchikomi/,0,0,0,1,1,0,0,1,0,0,3.0, レジャー・体験
東京,竹ネイチャーアカデミー,//www.jalan.net/kankou/spt_guide000000180616/kuchikomi/,12,0,4,1,4,0,1,2,2,0,26.0, 観光施設・名所巡り
東京,行船公園,//www.jalan.net/kankou/spt_13123ah3330044072/kuchikomi/,22,0,3,2,10,3,14,5,4,0,63.0, 観光施設・名所巡り
東京,塩釜神社（東京都東大和市）,//www.jalan.net/kankou/spt_13220ag2130009722/kuchikomi/,12,0,2,1,8,3,10,6,3,0,45.0, 神社・神宮・寺院
東京,東京国立近代美術館,//www.jalan.net/kankou/spt_13101cc3300033402/kuchikomi/,23,2,5,2,8,3,12,11,6,1,73.0, ミュージアム・ギャラリー
東京,パナソニック汐留美術館,//www.jalan.net/kankou/spt_guide000000196037/kuchikomi/,11,0,0,0,5,2,7,6,1,0,32.0, ミュージアム・ギャラリー
東京,湯島聖堂,//www.jalan.net/kankou/spt_13105ae2180022483/kuchikomi/,8,0,0,1,5,4,6,4,2,0,30.0, 観光施設・名所巡り
東京,京王れーるランド,//www.jalan.net/kankou/spt_guide000000189563/kuchikomi/,15,1,2,0,6,1,3,6,1,0,35.0, エンタメ・アミューズメント
東京,上野動物園モノレール,//www.jalan.net/kankou/spt_13106ee4570112043/kuchikomi/,20,1,2,1,7,1,12,15,5,0,64.0, 乗り物
東京,公園通り,//www.jalan.net/kankou/spt_13113aj2200026064/kuchikomi/,8,0,1,1,3,2,3,4,1,0,23.0, 観光施設・名所巡り
東京,峰谷川渓流釣場,//www.jalan.net/kankou/spt_13308cb3530080522/kuchikomi/,15,0,0,1,4,0,5,6,0,0,31.0, レジャー・体験
東京,ホテルJALシティ羽田東京 Cafe&Dining HARUHORO,//www.jalan.net/kankou/spt_guide000000205398/kuchikomi/,12,0,0,0,5,0,7,2,0,0,26.0, レジャー・体験
東京,ダイヤと花の大観覧車,//www.jalan.net/kankou/spt_guide000000172962/kuchikomi/,25,0,6,3,8,4,7,10,5,0,68.0, 観光施設・名所巡り
東京,国立天文台,//www.jalan.net/kankou/spt_13204ad3352024115/kuchikomi/,21,0,4,1,7,1,9,7,4,0,54.0, 観光施設・名所巡り
東京,ホテルウィングインターナショナル東京赤羽,//www.jalan.net/kankou/spt_guide000000216177/kuchikomi/,7,0,0,0,0,2,0,1,0,1,11.0, レジャー・体験
東京,堀切菖蒲園,//www.jalan.net/kankou/spt_13122cc3310040446/kuchikomi/,14,0,2,1,6,1,3,3,4,0,34.0, 観光施設・名所巡り
東京,東京都現代美術館,//www.jalan.net/kankou/spt_13108cc3300033609/kuchikomi/,24,0,3,3,14,3,12,16,5,0,80.0, ミュージアム・ギャラリー
東京,かっぱ橋道具街,//www.jalan.net/kankou/spt_guide000000189823/kuchikomi/,13,0,1,0,5,0,2,2,2,0,25.0, ショッピング
東京,有栖川宮記念公園,//www.jalan.net/kankou/spt_13103ah3330041158/kuchikomi/,30,0,5,1,8,2,18,10,6,0,80.0, 観光施設・名所巡り
東京,摩利支天徳大寺,//www.jalan.net/kankou/spt_guide000000186595/kuchikomi/,6,0,1,1,4,1,7,6,2,0,28.0, 神社・神宮・寺院
東京,日本の酒情報館,//www.jalan.net/kankou/spt_guide000000190723/kuchikomi/,10,0,1,0,8,1,2,3,1,0,26.0, ミュージアム・ギャラリー
東京,太田記念美術館,//www.jalan.net/kankou/spt_13113cc3300033908/kuchikomi/,15,0,2,3,7,1,6,10,3,0,47.0, ミュージアム・ギャラリー
東京,消防博物館,//www.jalan.net/kankou/spt_guide000000187053/kuchikomi/,16,0,3,1,5,1,3,1,1,0,31.0, ミュージアム・ギャラリー
東京,十条銀座商店街,//www.jalan.net/kankou/spt_guide000000184284/kuchikomi/,17,0,0,2,7,2,2,3,2,0,35.0, ショッピング
東京,高尾山ケーブルカー・二人乗り観光リフト,//www.jalan.net/kankou/spt_guide000000183876/kuchikomi/,24,0,5,1,4,3,15,12,3,0,67.0, 乗り物
