"Place_Name","Place_ID","user_ratings_total","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","wikipedia2VecVocab","wikipedia2VecVocabKouho"
"Nakamura Tsune Atelier Museum","ChIJTXalikWNGGAR2x7eZXoq8HE","151","0","4","0","2","9","2","22","2","6","5","ENTITY/Nakamura Tsune Atelier Museum",""
"Yakuoin","ChIJW0LCNUmNGGAR56yQKr1BQLk","210","1","12","2","1","13","6","34","7","1","13","ENTITY/Yakuoin",""
"Hyakuninchō Fureai Park","ChIJu4Hq0zONGGARCZDBd-_UpRQ","216","0","0","0","0","1","0","3","0","0","0","ENTITY/Hyakuninchō Fureai Park",""
"Genkokuji","ChIJZ9rYojyNGGARvbHK8brO3ls","75","4","14","2","4","15","9","32","5","8","21","ENTITY/Genkokuji",""
"Shinjuku Suwa Shrine","ChIJd_ZwuDyNGGARtqx0z7VVGEQ","588","5","4","1","3","3","3","6","2","4","3","ENTITY/Shinjuku Suwa Shrine",""
"Shinjuku City Miyatabashi Park","ChIJzdKRHkiNGGARNS_Q_6qm6BE","40","1","5","0","1","4","1","9","1","1","4","ENTITY/Shinjuku City Miyatabashi Park",""
"Tobe Park","ChIJ66iDszeNGGARaMhefAfpTSo","52","0","6","1","2","8","4","15","1","4","5","ENTITY/Tobe Park",""
"Shinjuku Kuritsu Takadanobaba Park","ChIJS57cVjeNGGARhRBwom7qOFE","78","1","3","1","1","3","5","9","4","4","3","ENTITY/Shinjuku Kuritsu Takadanobaba Park",""
"Shinjuku City Totsuka Park","ChIJh6hR_jWNGGARuRjSMR1ZOR4","79","2","10","1","3","8","4","15","3","5","10","ENTITY/Shinjuku City Totsuka Park",""
"Shimo Ochiai Yachō No Mori Park","ChIJk73iMEmNGGARU7wsg1qNRPo","90","2","4","2","0","6","3","10","2","4","4","ENTITY/Shimo Ochiai Yachō No Mori Park",""
"Otomeyama Park","ChIJbxNyLEaNGGARygBnMY0hgAE","811","1","14","0","1","14","2","15","1","13","12","ENTITY/Otomeyama Park",""
"Shinjuku City Suwa Park","ChIJN8C0ZDyNGGARe7JZEe3H68w","99","1","6","3","0","5","3","11","1","8","4","ENTITY/Shinjuku City Suwa Park",""
"Nishitoyama Park","ChIJP4j8DzGNGGARGusipeG_i8U","161","1","1","2","1","1","3","1","1","1","1","ENTITY/Nishitoyama Park",""
"Shinjuku Kuritsu Shimoochiai Park","ChIJZZzSYk6NGGAR64h64C-67AE","68","0","4","2","1","3","4","8","2","2","2","ENTITY/Shinjuku Kuritsu Shimoochiai Park",""
"Shinjukukuritsushimoochiaihigashi Park","ChIJVbdNikWNGGARNEocD0P1Dco","32","1","9","1","1","10","6","16","1","5","7","ENTITY/Shinjukukuritsushimoochiaihigashi Park",""
"Hachiman Park","ChIJ8cont0qNGGARLTSh3H8_WuM","69","2","9","2","6","10","9","16","3","3","13","ENTITY/Hachiman Park",""
"Matsukawa Park","ChIJA1em2j2NGGARC72Z4dzSOW8","48","3","2","2","1","4","4","5","0","2","4","ENTITY/Matsukawa Park",""
"Mannenyu","ChIJRwn2XCaNGGARII-6woQjTiA","1162","1","9","0","2","13","10","25","0","2","14","ENTITY/Mannenyu",""
"Hanazono Shrine","ChIJK9584NuMGGARVKfZjpYoQDs","7742","1","9","3","5","11","6","14","3","6","11","ENTITY/Hanazono Shrine",""
"Yoroi Shrine","ChIJNYE8JzONGGARlniylZX_6u0","296","0","3","0","6","3","0","19","2","2","9","ENTITY/Yoroi Shrine",""
"Josenin","ChIJh1so4tWMGGARisQ_cDpfAB8","56","2","5","1","3","8","5","17","1","3","5","ENTITY/Josenin",""
"Kashiwagi Park","ChIJwZxCItaMGGARwym184L-7sc","518","3","5","6","5","3","13","10","3","2","6","ENTITY/Kashiwagi Park",""
"Kaichū Inari Shrine","ChIJN53cOi-NGGARiMyC3HhBQ78","1176","7","12","1","5","9","9","18","2","6","8","ENTITY/Kaichū Inari Shrine",""
"Omoide Yokocho","ChIJP9eKBdeMGGAR0zzBXJNVj5A","11675","2","10","2","1","13","5","24","1","1","12","ENTITY/Omoide Yokocho",""
"SOMPO Museum Of Art","ChIJZ0mHeNaMGGARawZDmC_3dBo","2581","0","5","0","0","7","1","23","2","3","7","ENTITY/SOMPO Museum Of Art",""
"Kitakashiwagi Park","ChIJNcR-mzSNGGARkUSg2ojSnRI","206","5","25","6","8","25","11","43","3","7","19","ENTITY/Kitakashiwagi Park",""
"Naruko Tenjin Shrine","ChIJO4g9OSuNGGAR7DvooJGv9Jk","918","4","24","1","3","19","8","35","0","9","14","ENTITY/Naruko Tenjin Shrine",""
"Jōenji Temple","ChIJO1_KDtaMGGAR_rMFx_8-hMk","366","0","2","0","0","2","1","6","0","1","5","ENTITY/Jōenji Temple",""
"Shin Okubo Korea Town","ChIJIy8BewCNGGARYEkbHyX18Ok","64","4","6","1","5","8","6","10","2","4","9","ENTITY/Shin Okubo Korea Town",""
"Ninja Trick House In Tokyo","ChIJPQSrYNiMGGARwlBNXP_on_E","350","4","16","0","4","19","10","33","2","8","14","ENTITY/Ninja Trick House In Tokyo",""
"Godzilla Head","ChIJzRzI3HSNGGARRwZW6AtJfi0","1601","4","17","3","8","10","17","32","6","8","10","ENTITY/Godzilla Head",""
"Kabukicho Ichiban Gai Arch","ChIJVwPVkdiNGGARpNpvwSQTXQw","294","0","8","0","1","8","0","19","0","5","8","ENTITY/Kabukicho Ichiban Gai Arch",""
"Ohjo Building","ChIJO5zZY5qNGGAR6t0TMKJoAIc","36","1","1","0","0","5","1","5","1","2","2","ENTITY/Ohjo Building",""
"Shinjuku Ganka Art Gallery (Shinjuki Ganka Garō)","ChIJucqZTdmMGGAR-aZn5ZmWjeU","264","0","8","1","3","7","6","17","1","6","7","ENTITY/Shinjuku Ganka Art Gallery (Shinjuki Ganka Garō)",""
"Enshoji","ChIJb_Qn2szyGGARARADYxZ2Vu0","91","1","5","1","0","24","2","36","4","6","9","ENTITY/Enshoji",""
"Black Pillar Of Kyu Ome Kaido","ChIJReEtENeMGGARCD-tZ-YVD00","25","0","2","0","0","1","0","1","0","1","2","ENTITY/Black Pillar Of Kyu Ome Kaido",""
"Kita Shinjuku Park","ChIJK821Fs3yGGARCq4Jf5umbig","191","1","2","0","1","2","2","3","0","1","5","ENTITY/Kita Shinjuku Park",""
"Giant 3D Cat","ChIJ2WpQBmWNGGAROZeXFvCZA90","400","2","12","0","6","4","7","12","1","2","4","ENTITY/Giant 3D Cat",""
"Robert Indiana Sculpture: ""LOVE""","ChIJ-Wz0l9WMGGARffzhnOGip_w","1486","0","1","0","0","1","1","8","0","1","1","ENTITY/Robert Indiana Sculpture: ""LOVE""",""
"Suehiro Children'S Playground","ChIJZ1lNg83yGGARkuRLGqczfgs","23","2","6","4","0","5","8","10","0","4","4","ENTITY/Suehiro Children'S Playground",""
"Shinjuku Golden Gai","ChIJr7mGZdmMGGARjxoMFeHApXE","10109","5","9","1","4","9","9","22","2","2","12","ENTITY/Shinjuku Golden Gai",""
"Shinkaibashi Children'S Park","ChIJUT5W9MzyGGARasLhtHcUr4o","24","0","1","2","0","2","8","8","0","0","3","ENTITY/Shinkaibashi Children'S Park",""
"Miraion Lion Square","ChIJuV44lwaNGGARFjwjOZg6mjU","32","1","3","1","4","1","3","10","0","2","5","ENTITY/Miraion Lion Square",""
"Subaru Building Shinjuku Eye","ChIJXS9xxdaMGGAR9XZd9wIeJrk","464","1","8","0","6","7","8","25","5","5","11","ENTITY/Subaru Building Shinjuku Eye",""
"Shinjuku Wall 456","ChIJZVt18kqNGGAReyXIKnlPyiI","67","1","6","0","0","6","1","10","1","3","4","ENTITY/Shinjuku Wall 456",""
"Sokkuri Yakata Kisara","ChIJVYhpTNqMGGAR5ZZcGEcuViI","1121","2","15","2","1","16","4","24","0","7","18","ENTITY/Sokkuri Yakata Kisara",""
"Seria ¥100 Store","ChIJZSwbW9uMGGARIkr_94DqxP8","1790","0","9","0","0","5","5","15","2","4","6","ENTITY/Seria ¥100 Store",""
"Asahi Culture Center","ChIJn2fJGdWMGGARneZpR_piJjQ","153","3","17","0","3","8","7","22","0","1","17","ENTITY/Asahi Culture Center",""
"Love Benten Sculpture And Izumo Taisha Shrine","ChIJnVy5IdWMGGARbUjoLhYkOYk","44","2","8","1","3","7","4","15","1","3","5","ENTITY/Love Benten Sculpture And Izumo Taisha Shrine",""
"Tokyo Night & Light","ChIJX53MMgCNGGART78Pfc57ZuQ","167","2","14","1","9","8","6","28","3","7","19","ENTITY/Tokyo Night & Light",""
"Suica Penguin Square","ChIJZ_s1D9CMGGARFKPIrA2gfg8","362","1","2","0","3","2","3","3","1","2","2","ENTITY/Suica Penguin Square",""
"Statue Of Suica Penguin","ChIJg7INBtCMGGARcUPnGkz4zoQ","148","1","1","1","2","1","3","7","1","2","1","ENTITY/Statue Of Suica Penguin",""
"Raiden Inari Shrine","ChIJAQBrOtuMGGARPZyRlEEd3fk","99","1","4","0","2","1","4","8","1","1","4","ENTITY/Raiden Inari Shrine",""
"Women'S Active Museum On War And Peace","ChIJn7EnWhmNGGAR41qlMlKouN0","125","0","1","0","1","1","1","4","0","1","4","ENTITY/Women'S Active Museum On War And Peace",""
"Gekkeiji","ChIJjab3ovqMGGARngM7ojzWOwc","20","3","6","3","5","3","10","11","6","3","9","ENTITY/Gekkeiji",""
"Kansen En Park","ChIJQfY8WBeNGGARPmUvXP3I_EY","694","4","8","2","3","14","7","22","1","5","6","ENTITY/Kansen En Park",""
"Ana Hachimangu Shrine","ChIJBZBWBRyNGGARW2A510tXEpE","4941","1","21","2","7","21","2","33","2","12","24","ENTITY/Ana Hachimangu Shrine",""
"Tsubouchi Memorial Theatre Museum","ChIJ-UnLoBuNGGARiaRkr6zXCmU","245","1","2","2","0","5","2","17","0","3","10","ENTITY/Waseda University Tsubouchi Memorial Theatre Museum",""
"Hozenji","ChIJ25pLS-eMGGARLDGzRxlnL1U","65","0","0","2","2","3","5","16","3","1","8","ENTITY/Hozenji",""
"Hōsen Ji","ChIJJS2FiByNGGAR5ENhBkTKl54","56","3","7","2","2","5","6","12","5","3","8","ENTITY/Hōsen Ji",""
"Aizu Museum","ChIJOf5VdxuNGGARCr8NdF4zK40","123","1","11","0","5","14","6","45","3","5","7","ENTITY/Aizu Museum",""
"Toyama East Park","ChIJ7Vzaix2NGGARYWeCDwRSjJY","24","1","8","0","6","4","8","8","4","6","5","ENTITY/Toyama East Park",""
"Hoshoji","ChIJzQQJxOKMGGARqoF0KoQ73wE","41","1","6","0","3","8","6","22","3","3","11","ENTITY/Hoshoji",""
"Hakone Yama","ChIJ5zKZqB-NGGAR2X7x6XUaqb8","555","7","23","5","18","13","27","39","14","8","16","ENTITY/Hakone Yama",""
"Sosanji","ChIJZ4KGu_2MGGAR5-I8XuGu5Eg","46","2","2","2","9","4","7","18","7","1","14","ENTITY/Sosanji",""
"Natsume Soseki Memorial Museum","ChIJ_-kCNfyMGGAR1O0nCLKeY44","690","1","10","1","2","9","7","27","4","6","15","ENTITY/Natsume Soseki Memorial Museum",""
"Soseki Park","ChIJJ00rYVmMGGARyA51i-BFRto","346","3","5","1","1","5","3","11","0","4","7","ENTITY/Soseki Park",""
"Mizuinari Shrine","ChIJoc143xmNGGARq6IFxgeaHaE","218","2","4","0","2","3","3","7","1","4","2","ENTITY/Mizuinari Shrine",""
"Ōkuma Garden","ChIJn3aDqgSNGGARxCpOTYh_5h0","476","5","8","3","0","13","7","24","0","4","6","ENTITY/Ōkuma Garden",""
"Nukebenten Kita Park","ChIJvVB2-OCMGGAR2_u7AcmPoeM","71","0","1","0","0","2","1","3","0","2","1","ENTITY/Nukebenten Kita Park",""
"Toyama Park (Okubo Area)","ChIJCT5xMDuNGGARnjCtiCWRCcI","2191","1","9","0","3","5","4","15","2","0","5","ENTITY/Toyama Park (Okubo Area)",""
"Shinjuku City Ushigome Benten Park","ChIJo6QwXvmMGGARO2sx-Lz3IyQ","70","0","4","2","1","3","3","9","0","2","2","ENTITY/Shinjuku City Ushigome Benten Park",""
"Itsukushima Nukebenten","ChIJMUEKxeCMGGARGfK38eFzH6w","390","0","3","0","1","4","3","6","0","1","2","ENTITY/Itsukushima Nukebenten",""
"Hashigo Zaka Slope","ChIJfe-UheCMGGARgf_22GvzUA0","21","1","0","0","1","0","4","5","4","2","3","ENTITY/Hashigo Zaka Slope",""
"Shinjuku Kuritsu Enokimachi Park","ChIJoy8HA_-MGGARn7f-wORDHNE","37","2","3","4","2","3","6","9","2","3","4","ENTITY/Shinjuku Kuritsu Enokimachi Park",""
"Shinjuku Kuritsu Minamienoki Park","ChIJJ8YJpvmMGGAR23aS6XKR5Os","39","3","7","3","1","10","4","15","0","6","10","ENTITY/Shinjuku Kuritsu Minamienoki Park",""
"Akagi Shrine","ChIJgeazv1aMGGARQh5cREuvLjI","3113","1","12","0","9","14","6","33","2","7","18","ENTITY/Akagi Shrine",""
"Zenkoku Ji Temple","ChIJx6PKXlqMGGAR5gDIJambKD4","1365","0","6","1","0","6","2","11","1","4","5","ENTITY/Zenkoku Ji Temple",""
"Ichigaya Kameoka Hachimangu","ChIJX_kLuV-MGGARbqwHZcrZc1c","839","0","3","0","4","8","2","17","1","4","5","ENTITY/Ichigaya Kameoka Hachimangu",""
"Enpukuji","ChIJbW9pbleMGGAROGYf3jmI7Uk","54","0","1","0","4","3","4","8","3","3","3","ENTITY/Enpukuji",""
"Akagi Children'S Playground","ChIJcW0_dVaMGGARNmH8W48jqjo","129","0","7","1","0","10","3","22","1","3","13","ENTITY/Akagi Children'S Playground",""
"Jinai Park","ChIJ7RLhelqMGGAR0XnDj5cID3c","33","4","1","2","3","0","9","5","5","3","2","ENTITY/Jinai Park",""
"Miyagi Michio Memorial Hall","ChIJ_XaZg1mMGGAR49MsJ8uiuDk","51","0","9","0","1","12","0","26","4","2","8","ENTITY/Miyagi Michio Memorial Hall",""
"Tsukudo Hachiman Shrine","ChIJt3bsaFCMGGARmRx8EJr9uCs","315","0","7","0","0","8","0","14","1","3","6","ENTITY/Tsukudo Hachiman Shrine",""
"Nakamachi Park","ChIJjQ-Xf1mMGGAR5byBAnbCGgI","43","1","3","2","1","2","7","6","3","1","2","ENTITY/Nakamachi Park",""
"Statue Of Kobo Chan","ChIJFVPkNVeMGGARu5df3orPWr4","99","1","3","1","5","3","3","9","0","2","3","ENTITY/Statue Of Kobo Chan",""
"Alpaca Petting Zoo","ChIJ23CWE32NGGARyxJJZt43kLY","96","1","6","1","2","14","9","24","1","4","10","ENTITY/Alpaca Petting Zoo",""
"Yarai Park","ChIJvYVcuPiMGGARm6v911alOuU","96","2","4","1","1","2","3","2","1","2","2","ENTITY/Yarai Park",""
"Kōshōji","ChIJCeVKN1qMGGARImLytHxcmh4","46","6","14","10","22","5","34","32","26","10","23","ENTITY/Kōshōji",""
"Shirogane Park","ChIJJyNywVCMGGARp22PvIIZ_4w","488","0","6","1","0","5","2","8","0","4","5","ENTITY/Shirogane Park",""
"Hyogo Yokocho Alley","ChIJXRSCiFqMGGARWo3VQL4Ge0k","78","4","14","0","1","9","11","20","4","6","10","ENTITY/Hyogo Yokocho Alley",""
"Atamiyu","ChIJj3TaG1uMGGARAeGlKwrENQc","364","8","4","1","3","4","4","21","3","1","4","ENTITY/Atamiyu",""
"Shinjuku City Wakamiya Park","ChIJq9G4a1uMGGAR5to8Ss2I_gg","67","2","5","1","3","3","3","10","2","2","5","ENTITY/Shinjuku City Wakamiya Park",""
"Kakurenbo Yokocho (Hide And Seek Alley)","ChIJFfFAcNSNGGARJrymMof-YoY","40","1","10","0","3","8","3","19","1","2","10","ENTITY/Kakurenbo Yokocho (Hide And Seek Alley)",""
"Shinjuku City Kaga Park","ChIJF3OYJPeMGGARRJt5zZZihQM","89","1","6","2","2","7","7","11","1","3","6","ENTITY/Shinjuku City Kaga Park",""
"Shin Ogawa Park","ChIJrwdaHlCMGGARrGACJgxSm-U","82","0","3","1","2","2","7","3","4","3","2","ENTITY/Shin Ogawa Park",""
"Meiji Memorial Museum","ChIJzcr8rpaMGGARrj2DaL4S0Hk","972","6","9","1","4","9","7","25","4","4","12","ENTITY/Meiji Memorial Museum",""
"Min On Music Museum","ChIJ5W-rtJOMGGARB-JFc6fs9c8","429","2","5","0","1","7","4","16","4","5","9","ENTITY/Min On Music Museum",""
"Fire Museum","ChIJG99Bp-2MGGARK9sWy49hBq8","2043","3","9","0","13","4","8","19","1","3","9","ENTITY/Fire Museum",""
"Korean Cultural Center","ChIJdRrdfOyMGGARYNQyuwkUcuY","353","0","4","0","0","6","1","16","1","3","6","ENTITY/Korean Cultural Center",""
"Suga Shrine","ChIJ8VLVBuTsGGARfIDGqQDmC0Q","2503","0","4","0","1","8","4","21","1","0","9","ENTITY/Suga Shrine",""
"Yotsuya Okido Mark","ChIJlQ-68uuMGGAR4-j7RGfLdxs","68","4","6","2","3","2","7","20","2","0","5","ENTITY/Yotsuya Okido Mark",""
"Shinjuku Kuritsu Suga Park","ChIJeQ4UC42MGGARQOxJHryPS78","49","0","2","0","0","4","0","15","1","2","5","ENTITY/Shinjuku Kuritsu Suga Park",""
"Place M","ChIJq6qL9OmMGGARnbwINiHDD_o","80","0","3","0","0","2","1","6","0","3","7","ENTITY/Place M",""
"Tokyo Toy Museum","ChIJHeBCIOyMGGAR7BktETlUP_w","1911","2","13","1","2","14","7","33","6","9","13","ENTITY/Tokyo Toy Museum",""
"Yotsuya Mitsuke Park","ChIJZT9KFYmMGGAR0RHuH3Wk-Lw","451","0","3","0","0","1","3","9","0","1","2","ENTITY/Yotsuya Mitsuke Park",""
"Shinjuku City Hanazono West Park","ChIJMdC9oMKMGGARrA2ltGNeASQ","139","1","7","6","3","4","9","8","4","7","6","ENTITY/Shinjuku City Hanazono West Park",""
"Tofukuin Temple","ChIJeUh_F42MGGAR1L0C8yhJrdI","59","3","6","3","4","6","11","22","7","7","17","ENTITY/Tofukuin Temple",""
"Yōunji Temple","ChIJo4gQo5KMGGARczYuAmOur0g","475","1","9","1","1","10","2","15","2","4","11","ENTITY/Yōunji Temple",""
"Kaigyōji","ChIJc6h-sY2MGGARtvIZGRA6uQI","34","3","1","3","13","3","15","23","11","3","14","ENTITY/Kaigyōji",""
"Shinjuku Historical Museum","ChIJ-yMPcvOMGGARgN0roRXEJiI","933","2","11","0","0","8","10","23","0","4","10","ENTITY/Shinjuku Historical Museum",""
"Daikyō Park","ChIJsehfquyMGGARdza-PQhc5gE","60","3","7","3","2","8","5","18","3","7","8","ENTITY/Daikyō Park",""
"Shinsamon Children'S Playground","ChIJpYcJk5KMGGARixaI-Xd2Nw4","45","1","0","6","0","3","8","5","0","0","2","ENTITY/Shinsamon Children'S Playground",""
"Sasadera","ChIJzwl9jeyMGGAR68YC3XeH2Yk","43","5","5","1","7","7","9","19","5","7","4","ENTITY/Sasadera",""
"Wakaba Park","ChIJ5SYKiY2MGGAR2-Qo6ViaJvE","46","4","11","3","1","8","8","20","4","6","13","ENTITY/Wakaba Park",""
"Samon Park","ChIJVRXiF-2MGGARPWCZsiuN8SY","35","4","2","3","2","3","5","6","0","1","3","ENTITY/Samon Park",""
"Shōkōji","ChIJVWH-dY2MGGAR3HJOHTEooHQ","33","5","3","1","8","2","10","15","8","1","6","ENTITY/Shōkōji",""
"Suga Shrine Otokodan","ChIJFZmQijCNGGARTGdM5ATq-aw","582","0","4","0","0","3","2","6","1","2","2","ENTITY/Suga Shrine Otokodan",""
"Tōchōji","ChIJCxu-I-mMGGARonzoMFZwwvc","173","2","3","1","1","5","4","10","2","2","5","ENTITY/Tōchōji",""
"Greenhouse, Shinjuku Gyoen National Garden","ChIJpzTiFuqMGGAR4uvTgBAtMN8","412","2","7","2","0","7","3","17","1","2","7","ENTITY/Greenhouse, Shinjuku Gyoen National Garden",""
"Aizenin","ChIJrY54_YyMGGARsS1E2VOdJvQ","48","2","9","2","4","9","10","26","5","1","18","ENTITY/Aizenin",""
"Shinjuku Kuritsu Aizumi Park","ChIJl8i6nO6MGGARmWvAHMTwD44","100","0","9","1","2","7","3","13","2","6","7","ENTITY/Shinjuku Kuritsu Aizumi Park",""
"2020 Olympic Cauldron","ChIJw5mHjH-NGGAR-rSeORv2eSQ","46","1","6","1","2","2","4","2","2","2","2","ENTITY/2020 Olympic Cauldron",""
"Fishing Culture Museum","ChIJueBPY-6MGGAR0eNdwstn0pk","37","1","4","2","1","7","5","17","7","4","6","ENTITY/Fishing Culture Museum",""
"Hanazono Park","ChIJbxM9vemMGGAR3dDKPZNlzU4","218","1","2","0","2","3","3","6","3","0","5","ENTITY/Hanazono Park",""
"Shinjuku City Araki Park","ChIJfTM5e_KMGGART1BwLNTze3w","58","1","5","2","1","4","3","7","1","1","4","ENTITY/Shinjuku City Araki Park",""
"Tokyo 1964 Olympic Cauldron","ChIJeb61HrqNGGARAkHtgTNdDR4","33","3","5","2","5","2","4","7","3","2","0","ENTITY/Tokyo 1964 Olympic Cauldron",""
"National Foundation Memorial Archives","ChIJV1vyLZeMGGARCgUPmlo4jqA","27","6","20","4","0","12","4","32","1","5","19","ENTITY/National Foundation Memorial Archives",""
"Shinjuku City San'Ei Park","ChIJ3ZFeJPOMGGARHV4pzckEFEM","226","1","2","0","1","2","1","6","0","1","2","ENTITY/Shinjuku City San'Ei Park",""
"Genkyōji","ChIJtT92KOmMGGARnIIrladqYus","24","1","1","0","6","0","5","6","5","0","4","ENTITY/Genkyōji",""
"Muchi Pond","ChIJFxVObPKMGGARsZzoY7S5AX8","38","3","7","4","5","14","14","26","3","6","13","ENTITY/Muchi Pond",""
"Owl Cafe MofuMofu","ChIJs4P67dqMGGARiUY0WnPhywM","213","5","8","0","1","9","8","27","1","6","13","ENTITY/Owl Cafe MofuMofu",""
"Tokyo Metropolitan Art Museum","ChIJb_o7HiiMGGARUKu8uO7fGIQ","14223","0","15","1","0","14","5","35","4","13","10","ENTITY/Tokyo Metropolitan Art Museum",""
"The National Museum Of Western Art","ChIJf8xB-pyOGGARizzhlNTcI7s","9447","1","9","1","2","8","6","18","2","5","7","ENTITY/The National Museum Of Western Art",""
"Tokyo National Museum","ChIJEX3XFIOOGGAR3XdJvRjWLyM","25685","0","17","0","4","18","5","43","8","14","18","ENTITY/Tokyo National Museum",""
"National Museum Of Nature And Science","ChIJ8Vuh65yOGGARyj4L5IBFiIk","25195","0","11","0","2","8","6","19","2","2","12","ENTITY/National Museum of Nature and Science",""
"Ueno Zoological Gardens","ChIJf2129yiMGGAR9I6Yoe-1uHY","34317","7","13","4","9","13","6","26","3","6","10","ENTITY/Ueno Zoo",""
"Kanei Ji","ChIJs0s4j4GOGGARZwSDJ4mP5Tc","1920","1","10","1","0","12","4","21","4","8","11","ENTITY/Kanei Ji",""
"Gallery Neko Machi","ChIJ7zIG29KNGGAR8mac1BLq5Kc","159","0","4","0","1","10","0","22","2","5","6","ENTITY/Gallery Neko Machi",""
"Ueno Toshogu Shrine","ChIJP7lRfyiMGGARqb1QQhfm9EQ","3793","3","5","2","0","7","8","13","3","2","8","ENTITY/Ueno Toshogu Shrine",""
"Shiki An","ChIJu1O6_ICOGGARn_ZIExwTDeE","153","3","3","3","4","8","6","14","5","1","7","ENTITY/Shiki An",""
"Former Yoshida Ya Liquor Store","ChIJP8uMSCqMGGARy3Q6ZdwRK5g","145","2","2","0","1","1","3","3","2","0","2","ENTITY/Former Yoshida Ya Liquor Store",""
"Haginoyu","ChIJIWPdM4GOGGAROBg4zlnJUXA","4314","3","12","1","2","9","4","31","2","3","9","ENTITY/Haginoyu",""
"Teramachi Art Museum","ChIJy13aydSNGGARHnpnbn0NReI","32","0","2","0","0","2","1","3","0","0","2","ENTITY/Teramachi Art Museum",""
"Yodenji Temple","ChIJAQAMm9SNGGARDwvScj-ea6k","30","2","8","0","3","5","8","17","5","0","4","ENTITY/Yodenji Temple",""
"Tokyo National Museum Garden","ChIJASZEDYOOGGARrcQ8hwDK6dY","398","1","3","0","0","5","1","7","1","2","6","ENTITY/Tokyo National Museum Garden",""
"Tokyo National Museum Hyokeikan","ChIJa99w4YKOGGAR6kI8HfHgq1Y","979","0","6","0","2","8","1","19","5","6","6","ENTITY/Tokyo National Museum Hyokeikan",""
"Okakura Tenshin Memorial Park","ChIJtfJTldONGGARkAvmSAA2ax4","121","1","5","2","2","6","2","14","0","3","5","ENTITY/Okakura Tenshin Memorial Park",""
"Negishi Sampei Dō","ChIJkSxf5YCOGGARZ6c4Gy813gE","47","1","8","1","3","2","4","10","2","1","4","ENTITY/Negishi Sampei Dō",""
"Asakura Museum Of Sculpture","ChIJeRYrbNSNGGAR0P33uymr9Ug","977","0","20","1","2","35","7","73","6","9","25","ENTITY/Asakura Museum Of Sculpture",""
"Daimyo Clock Museum","ChIJSUsS7CyMGGARc6JcAnpvjjU","136","2","28","2","4","11","11","41","7","7","17","ENTITY/Daimyo Clock Museum",""
"Kanei Ji Gojunoto (Five Story Pagoda)","ChIJ44cX4SeMGGARVGhUY_nOF4U","244","1","6","2","1","9","5","17","3","7","8","ENTITY/Kanei Ji Gojunoto (Five Story Pagoda)",""
"Shingen Ji (Kishi Mojin Of Iriya)","ChIJ__-brpqOGGARpX31ZpieS-I","599","0","16","3","1","12","4","19","2","6","8","ENTITY/Shingen Ji (Kishi Mojin Of Iriya)",""
"Zenshoan Temple","ChIJtbB5atONGGARS2lb1uRdhXw","284","0","4","0","4","5","3","17","2","3","4","ENTITY/Zenshoan Temple",""
"Taitō City Calligraphy Museum","ChIJV9V04YCOGGAR1vJXsD-8tmc","272","1","2","1","2","2","5","11","1","0","7","ENTITY/Taitō City Calligraphy Museum",""
"Tennōji Temple","ChIJ8fH0kNSNGGARRqPAgLpngyc","611","0","6","0","3","7","6","14","6","6","6","ENTITY/Tennōji Temple",""
"Ueno Toshogu Peony Garden","ChIJAQC06SeMGGAR1OplI5VNONo","367","3","8","1","1","11","6","18","3","3","9","ENTITY/Ueno Toshogu Peony Garden",""
"Kannōnji Temple","ChIJ18PKhtSNGGARqBnt1MDvTiI","166","1","8","1","2","4","4","23","5","4","13","ENTITY/Kannōnji Temple",""
"Meioin","ChIJl7MDXNONGGARpiNX94UXcsE","45","0","3","0","1","2","4","10","1","0","5","ENTITY/Meioin",""
"Jomyoin","ChIJRaAb3IGOGGAR-mrsT4mlvLc","231","0","8","0","2","7","5","16","3","3","3","ENTITY/Jomyoin",""
"Tennōji Temple","ChIJVVUKJdWNGGARqrxX5wMcmrA","38","0","0","0","1","0","2","5","2","0","0","ENTITY/Tennōji Temple",""
"Choshiyozandaio Temple","ChIJu46PTSqMGGAR-Bn_zKmdO0M","48","4","6","5","11","9","13","24","10","5","12","ENTITY/Choshiyozandaio Temple",""
"Ryogonji","ChIJXyuq8tSNGGAR8dILo0n-hY0","30","1","11","1","4","6","4","11","2","3","9","ENTITY/Ryogonji",""
"Tennoji Park","ChIJl6EKrtWNGGARjKIK9cEvKjc","29","0","4","0","1","2","3","4","1","2","2","ENTITY/Tennoji Park",""
"Ono Terusaki Shrine","ChIJb8HIjY-OGGARSuIM_AjFxyY","1703","1","9","1","4","16","2","30","1","8","12","ENTITY/Ono Terusaki Shrine",""
"Yanaka Shimizuchō Park","ChIJ-ZqYxiuMGGARrOVi78aVb3U","83","2","4","1","0","2","4","8","0","1","3","ENTITY/Yanaka Shimizuchō Park",""
"Tokyo National Museum The Gallery Of Horyuji Treasures","ChIJEX3XFIOOGGARg_LSzKHontE","793","2","8","0","1","5","5","12","2","6","3","ENTITY/Tokyo National Museum The Gallery Of Horyuji Treasures",""
"Taito Kuritsu Uguisudani Park","ChIJOU_b9YSOGGARyQ5htyCiCl4","196","1","4","0","0","7","2","8","1","3","7","ENTITY/Taito Kuritsu Uguisudani Park",""
