"Place_Name","Place_ID","user_ratings_total","anger","anticipation","disgust","fear","joy","negative","positive","sadness","surprise","trust","wikipedia2VecVocab","wikipedia2VecVocabKouho"
"Futo Park","ChIJcXl4TjSKGGAR-HrkGf4fKZM","239","2","6","1","1","5","4","9","0","1","4","ENTITY/Futo Park",""
"Konan Third Street Playground","ChIJoW3U1UeKGGARMisujDoeeIc","90","3","9","2","2","12","3","14","2","6","6","ENTITY/Konan Third Street Playground",""
"Shiosai Bridge","ChIJlWFm7TWKGGARpsUXLha-Yzk","26","0","1","0","0","0","1","0","0","0","0","ENTITY/Shiosai Bridge",""
"Platanus Park","ChIJB34WEEqKGGARpaq95ARZA70","102","0","6","0","0","5","5","10","0","3","6","ENTITY/Platanus Park",""
"Shiba Maruyama Tumulus","ChIJ55pIRbmLGGAReFx7rf2nL8c","107","8","13","3","8","6","22","30","11","5","15","ENTITY/Shiba Maruyama Tumulus",""
"Tokyo Tower","ChIJCewJkL2LGGAR3Qmk0vCTGkg","77752","5","28","1","5","15","17","49","7","14","19","ENTITY/Tokyo Tower",""
"Zōjō Ji","ChIJC2xnkb6LGGARJL0d222opIg","10290","1","5","1","3","4","11","15","6","7","8","ENTITY/Zōjō Ji",""
"NHK Museum Of Broadcasting","ChIJCcGIPpSLGGARzZ4ZW6hu6NE","1179","1","8","0","3","7","1","23","1","3","9","ENTITY/NHK Museum Of Broadcasting",""
"Karasumori Shrine","ChIJmyHLzuuLGGAR_dp7Ams-EI4","4031","2","5","2","6","9","7","21","4","3","8","ENTITY/Karasumori Shrine",""
"Panasonic Shiodome Museum Of Art","ChIJ6Sypp8KLGGAR4lmmX-zFFmo","1575","1","4","0","1","4","5","9","1","2","6","ENTITY/Panasonic Shiodome Museum Of Art",""
"The Old Shimbashi Station Railway History Exhibition Hall","ChIJ3YkTH-iLGGARFeFdXRMTGCA","749","5","6","0","0","1","9","11","0","0","3","ENTITY/The Old Shimbashi Station Railway History Exhibition Hall",""
"Italia Street","ChIJ5YHK2MOLGGARfS_kBq3T3Kc","1733","5","8","5","7","9","9","15","3","3","9","ENTITY/Italia Street",""
"Success Steps","ChIJ2cn3ZZSLGGARtAH08ZmRyIo","3453","3","18","2","2","13","7","35","0","3","14","ENTITY/Success Steps",""
"Japan Longitude And Latitude Origin","ChIJPxLuDpiLGGARrpOPDjdOGtw","46","0","7","0","5","2","4","15","1","2","10","ENTITY/Japan Longitude And Latitude Origin",""
"Sakurada Park","ChIJU2yfPOqLGGAR5kyogpBYaUY","1044","1","5","1","0","4","7","10","0","4","5","ENTITY/Sakurada Park",""
"SL Square (Shimbashi Station West Entrance Square)","ChIJ--QO2OuLGGARArLS5ggknfU","2302","0","5","0","2","3","1","6","1","3","4","ENTITY/SL Square (Shimbashi Station West Entrance Square)",""
"Japan Sake And Shōchū Information Center","ChIJ_____-yLGGAR8bvuJnTEoFs","365","0","6","0","0","6","0","13","0","2","5","ENTITY/Japan Sake And Shōchū Information Center",""
"Shinkōin","ChIJG_Jxdr2LGGARo4c9XYwS20U","59","2","4","2","3","8","5","22","4","4","7","ENTITY/Shinkōin",""
"Nishikubo Hachiman Shrine","ChIJgwRJZJeLGGARGS9TGva9Ec4","292","0","6","0","0","5","2","13","3","2","7","ENTITY/Nishikubo Hachiman Shrine",""
